model,precision,recall,f1_score,average_precision,false_positives,false_negatives
Logistic Regression (baseline),0.0531370038412291,0.8736842105263158,0.100181050090525,0.6768371367155248,1479,12
Random Forest,0.6785714285714286,0.8,0.7342995169082126,0.7135712002369301,36,19
XGBoost,0.7047619047619048,0.7789473684210526,0.74,0.8048701616420646,31,21
Ensemble (Fast Filter + Second Opinion),0.7524752475247525,0.8,0.7755102040816326,,25,19
Ensemble (Stacking),0.925,0.7789473684210526,0.8457142857142858,,6,21
